Ref_file	Query_file	ANI	Align_fraction_ref	Align_fraction_query	Ref_name	Query_name
/home/lorenzo/Documents/tesi_2/fastANI-skani-comparison/HGT_random/origin_4.fasta	/home/lorenzo/Documents/tesi_2/fastANI-skani-comparison/HGT_random/mutated_4_0.fasta	100.00	100.00	99.93	origin_4	mutated_4_0
/home/lorenzo/Documents/tesi_2/fastANI-skani-comparison/HGT_random/origin_4.fasta	/home/lorenzo/Documents/tesi_2/fastANI-skani-comparison/HGT_random/mutated_4_1.fasta	100.00	100.00	99.74	origin_4	mutated_4_1
/home/lorenzo/Documents/tesi_2/fastANI-skani-comparison/HGT_random/origin_4.fasta	/home/lorenzo/Documents/tesi_2/fastANI-skani-comparison/HGT_random/mutated_4_10.fasta	100.00	100.00	92.85	origin_4	mutated_4_10
/home/lorenzo/Documents/tesi_2/fastANI-skani-comparison/HGT_random/origin_4.fasta	/home/lorenzo/Documents/tesi_2/fastANI-skani-comparison/HGT_random/mutated_4_11.fasta	100.00	100.00	90.14	origin_4	mutated_4_11
/home/lorenzo/Documents/tesi_2/fastANI-skani-comparison/HGT_random/origin_4.fasta	/home/lorenzo/Documents/tesi_2/fastANI-skani-comparison/HGT_random/mutated_4_12.fasta	100.00	100.00	86.67	origin_4	mutated_4_12
/home/lorenzo/Documents/tesi_2/fastANI-skani-comparison/HGT_random/origin_4.fasta	/home/lorenzo/Documents/tesi_2/fastANI-skani-comparison/HGT_random/mutated_4_13.fasta	100.00	100.00	82.56	origin_4	mutated_4_13
/home/lorenzo/Documents/tesi_2/fastANI-skani-comparison/HGT_random/origin_4.fasta	/home/lorenzo/Documents/tesi_2/fastANI-skani-comparison/HGT_random/mutated_4_14.fasta	100.00	100.00	77.92	origin_4	mutated_4_14
/home/lorenzo/Documents/tesi_2/fastANI-skani-comparison/HGT_random/origin_4.fasta	/home/lorenzo/Documents/tesi_2/fastANI-skani-comparison/HGT_random/mutated_4_15.fasta	100.00	100.00	72.82	origin_4	mutated_4_15
/home/lorenzo/Documents/tesi_2/fastANI-skani-comparison/HGT_random/origin_4.fasta	/home/lorenzo/Documents/tesi_2/fastANI-skani-comparison/HGT_random/mutated_4_16.fasta	100.00	100.00	67.41	origin_4	mutated_4_16
/home/lorenzo/Documents/tesi_2/fastANI-skani-comparison/HGT_random/origin_4.fasta	/home/lorenzo/Documents/tesi_2/fastANI-skani-comparison/HGT_random/mutated_4_17.fasta	100.00	100.00	61.85	origin_4	mutated_4_17
/home/lorenzo/Documents/tesi_2/fastANI-skani-comparison/HGT_random/origin_4.fasta	/home/lorenzo/Documents/tesi_2/fastANI-skani-comparison/HGT_random/mutated_4_18.fasta	100.00	100.00	56.23	origin_4	mutated_4_18
/home/lorenzo/Documents/tesi_2/fastANI-skani-comparison/HGT_random/origin_4.fasta	/home/lorenzo/Documents/tesi_2/fastANI-skani-comparison/HGT_random/mutated_4_2.fasta	100.00	100.00	99.43	origin_4	mutated_4_2
/home/lorenzo/Documents/tesi_2/fastANI-skani-comparison/HGT_random/origin_4.fasta	/home/lorenzo/Documents/tesi_2/fastANI-skani-comparison/HGT_random/mutated_4_3.fasta	100.00	100.00	99.02	origin_4	mutated_4_3
/home/lorenzo/Documents/tesi_2/fastANI-skani-comparison/HGT_random/origin_4.fasta	/home/lorenzo/Documents/tesi_2/fastANI-skani-comparison/HGT_random/mutated_4_4.fasta	100.00	100.00	98.54	origin_4	mutated_4_4
/home/lorenzo/Documents/tesi_2/fastANI-skani-comparison/HGT_random/origin_4.fasta	/home/lorenzo/Documents/tesi_2/fastANI-skani-comparison/HGT_random/mutated_4_5.fasta	100.00	100.00	97.95	origin_4	mutated_4_5
/home/lorenzo/Documents/tesi_2/fastANI-skani-comparison/HGT_random/origin_4.fasta	/home/lorenzo/Documents/tesi_2/fastANI-skani-comparison/HGT_random/mutated_4_6.fasta	100.00	100.00	97.27	origin_4	mutated_4_6
/home/lorenzo/Documents/tesi_2/fastANI-skani-comparison/HGT_random/origin_4.fasta	/home/lorenzo/Documents/tesi_2/fastANI-skani-comparison/HGT_random/mutated_4_7.fasta	100.00	100.00	96.50	origin_4	mutated_4_7
/home/lorenzo/Documents/tesi_2/fastANI-skani-comparison/HGT_random/origin_4.fasta	/home/lorenzo/Documents/tesi_2/fastANI-skani-comparison/HGT_random/mutated_4_8.fasta	100.00	100.00	95.64	origin_4	mutated_4_8
/home/lorenzo/Documents/tesi_2/fastANI-skani-comparison/HGT_random/origin_4.fasta	/home/lorenzo/Documents/tesi_2/fastANI-skani-comparison/HGT_random/mutated_4_9.fasta	100.00	100.00	94.69	origin_4	mutated_4_9
