Ref_file	Query_file	ANI	Align_fraction_ref	Align_fraction_query	Ref_name	Query_name
/home/lorenzo/Documents/tesi_2/fastANI-skani-comparison/SNP_random/origin_4.fasta	/home/lorenzo/Documents/tesi_2/fastANI-skani-comparison/SNP_random/mutated_4_0.fasta	99.92	99.98	99.98	origin_4	mutated_4_0
/home/lorenzo/Documents/tesi_2/fastANI-skani-comparison/SNP_random/origin_4.fasta	/home/lorenzo/Documents/tesi_2/fastANI-skani-comparison/SNP_random/mutated_4_1.fasta	99.78	100.00	100.00	origin_4	mutated_4_1
/home/lorenzo/Documents/tesi_2/fastANI-skani-comparison/SNP_random/origin_4.fasta	/home/lorenzo/Documents/tesi_2/fastANI-skani-comparison/SNP_random/mutated_4_10.fasta	97.82	99.55	99.55	origin_4	mutated_4_10
/home/lorenzo/Documents/tesi_2/fastANI-skani-comparison/SNP_random/origin_4.fasta	/home/lorenzo/Documents/tesi_2/fastANI-skani-comparison/SNP_random/mutated_4_11.fasta	96.80	99.18	99.18	origin_4	mutated_4_11
/home/lorenzo/Documents/tesi_2/fastANI-skani-comparison/SNP_random/origin_4.fasta	/home/lorenzo/Documents/tesi_2/fastANI-skani-comparison/SNP_random/mutated_4_12.fasta	95.32	98.94	98.94	origin_4	mutated_4_12
/home/lorenzo/Documents/tesi_2/fastANI-skani-comparison/SNP_random/origin_4.fasta	/home/lorenzo/Documents/tesi_2/fastANI-skani-comparison/SNP_random/mutated_4_13.fasta	94.50	98.84	98.84	origin_4	mutated_4_13
/home/lorenzo/Documents/tesi_2/fastANI-skani-comparison/SNP_random/origin_4.fasta	/home/lorenzo/Documents/tesi_2/fastANI-skani-comparison/SNP_random/mutated_4_14.fasta	93.58	98.36	98.36	origin_4	mutated_4_14
/home/lorenzo/Documents/tesi_2/fastANI-skani-comparison/SNP_random/origin_4.fasta	/home/lorenzo/Documents/tesi_2/fastANI-skani-comparison/SNP_random/mutated_4_15.fasta	92.63	96.78	96.78	origin_4	mutated_4_15
/home/lorenzo/Documents/tesi_2/fastANI-skani-comparison/SNP_random/origin_4.fasta	/home/lorenzo/Documents/tesi_2/fastANI-skani-comparison/SNP_random/mutated_4_16.fasta	91.59	95.52	95.52	origin_4	mutated_4_16
/home/lorenzo/Documents/tesi_2/fastANI-skani-comparison/SNP_random/origin_4.fasta	/home/lorenzo/Documents/tesi_2/fastANI-skani-comparison/SNP_random/mutated_4_17.fasta	90.67	91.87	91.87	origin_4	mutated_4_17
/home/lorenzo/Documents/tesi_2/fastANI-skani-comparison/SNP_random/origin_4.fasta	/home/lorenzo/Documents/tesi_2/fastANI-skani-comparison/SNP_random/mutated_4_18.fasta	89.97	89.08	89.08	origin_4	mutated_4_18
/home/lorenzo/Documents/tesi_2/fastANI-skani-comparison/SNP_random/origin_4.fasta	/home/lorenzo/Documents/tesi_2/fastANI-skani-comparison/SNP_random/mutated_4_2.fasta	99.67	100.00	100.00	origin_4	mutated_4_2
/home/lorenzo/Documents/tesi_2/fastANI-skani-comparison/SNP_random/origin_4.fasta	/home/lorenzo/Documents/tesi_2/fastANI-skani-comparison/SNP_random/mutated_4_3.fasta	99.57	99.98	99.98	origin_4	mutated_4_3
/home/lorenzo/Documents/tesi_2/fastANI-skani-comparison/SNP_random/origin_4.fasta	/home/lorenzo/Documents/tesi_2/fastANI-skani-comparison/SNP_random/mutated_4_4.fasta	99.45	99.95	99.95	origin_4	mutated_4_4
/home/lorenzo/Documents/tesi_2/fastANI-skani-comparison/SNP_random/origin_4.fasta	/home/lorenzo/Documents/tesi_2/fastANI-skani-comparison/SNP_random/mutated_4_5.fasta	99.28	99.94	99.94	origin_4	mutated_4_5
/home/lorenzo/Documents/tesi_2/fastANI-skani-comparison/SNP_random/origin_4.fasta	/home/lorenzo/Documents/tesi_2/fastANI-skani-comparison/SNP_random/mutated_4_6.fasta	99.22	99.85	99.85	origin_4	mutated_4_6
/home/lorenzo/Documents/tesi_2/fastANI-skani-comparison/SNP_random/origin_4.fasta	/home/lorenzo/Documents/tesi_2/fastANI-skani-comparison/SNP_random/mutated_4_7.fasta	99.09	99.80	99.80	origin_4	mutated_4_7
/home/lorenzo/Documents/tesi_2/fastANI-skani-comparison/SNP_random/origin_4.fasta	/home/lorenzo/Documents/tesi_2/fastANI-skani-comparison/SNP_random/mutated_4_8.fasta	99.02	99.85	99.85	origin_4	mutated_4_8
/home/lorenzo/Documents/tesi_2/fastANI-skani-comparison/SNP_random/origin_4.fasta	/home/lorenzo/Documents/tesi_2/fastANI-skani-comparison/SNP_random/mutated_4_9.fasta	98.91	99.90	99.90	origin_4	mutated_4_9
